DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.39,2.11,1.02,0.0,0.23,1.95,2.42
0.0,1.0,0.0,0.0,0.0,FW,0.33,0.33,0.33,1.67,0.67,0.67,1.33,0.0,0.33
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.32,1.61,0.97,0.0,2.26,0.97,1.94
0.0,0.0,0.0,0.0,1.0,MFFW,0.17,0.39,0.06,0.79,1.35,0.45,1.85,0.73,0.56
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.37,0.0,0.0,0.0,1.48,0.37
0.0,0.0,0.0,1.0,0.0,MF,0.18,0.0,0.24,0.84,0.36,0.0,1.45,0.54,1.02
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.33,1.32,0.77,0.0,2.09,0.88,1.32
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.43,4.35,0.87,0.43,4.78,0.43,1.74
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.12,1.88,1.06,0.0,3.76,0.71,1.18
0.0,1.0,0.0,0.0,0.0,FW,0.35,0.17,0.23,1.22,1.8,0.12,3.9,0.12,0.12
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.07,0.28,1.88,0.14,0.0,0.14,0.69,1.11
0.0,0.0,0.0,1.0,0.0,MF,0.14,0.43,0.0,0.29,0.87,0.14,2.61,0.14,0.58
0.0,0.0,0.0,1.0,0.0,MF,0.42,0.11,0.32,1.68,1.79,0.11,1.26,0.74,2.42
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.3,0.61,2.73,2.42,0.0,4.24,0.0,1.52
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.23,0.23,0.47,0.47,0.47,0.0,0.23,0.7
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.05,0.33,1.58,0.33,0.0,0.49,0.82,1.03
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.15,0.15,1.7,1.45,0.05,1.3,1.45,2.7
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.0,0.08,0.97,0.97,0.29,2.1,0.97,1.51
0.0,0.0,0.0,0.0,1.0,MFFW,0.27,0.54,0.27,1.08,1.35,0.54,1.35,0.81,0.27
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.08,0.23,0.93,1.55,0.23,1.47,0.93,0.85
0.0,1.0,0.0,0.0,0.0,FW,0.29,0.12,0.12,0.71,2.25,0.21,3.62,0.5,0.75
0.0,1.0,0.0,0.0,0.0,FW,0.27,0.36,0.27,0.89,3.12,0.09,7.86,0.18,0.45
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.17,2.37,0.68,0.34,0.0,1.02,0.34
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.04,0.0,0.37,1.41,0.89,0.0,0.19,1.41,1.85
0.0,0.0,0.0,1.0,0.0,MF,0.06,0.0,0.3,2.59,0.48,0.06,0.42,1.14,1.27
0.0,1.0,0.0,0.0,0.0,FW,0.47,0.06,0.47,1.24,4.0,0.24,3.88,0.18,0.12
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.15,1.52,1.36,0.0,6.82,1.06,0.76
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.05,0.32,2.34,1.49,0.0,0.53,1.6,2.23
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.35,1.5,2.92,0.0,2.48,0.8,1.33
0.0,0.0,0.0,1.0,0.0,MF,0.2,0.1,0.39,1.86,1.47,0.0,0.39,0.88,1.47
0.0,0.0,0.0,0.0,1.0,MFFW,0.25,0.18,0.14,0.64,1.52,0.25,2.97,0.57,0.71
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.0,0.26,0.79,0.79,0.0,6.84,1.84,0.53
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.18,0.27,0.54,1.8,0.27,6.13,0.72,0.45
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,2.08,3.33,0.0,0.42,2.08,0.83
0.0,1.0,0.0,0.0,0.0,FW,0.26,0.09,0.09,1.45,1.62,0.68,0.26,0.17,0.51
0.0,0.0,0.0,1.0,0.0,MF,0.06,0.0,0.25,1.84,1.72,0.0,0.12,0.25,1.23
0.0,1.0,0.0,0.0,0.0,FW,0.54,0.04,0.12,1.2,1.74,0.35,0.08,0.27,0.39
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.2,1.2,0.0,0.4,2.4,0.8
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.25,1.56,0.0,0.62,1.25,0.94
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.29,1.18,0.88,0.0,5.88,0.88,0.88
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.59,3.82,3.24,0.0,1.18,0.88,0.88
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,0.4,0.8,0.4,2.0,0.0,0.4
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.0,0.0,0.42,1.04,0.21,7.92,0.21,0.42
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.29,0.4,2.06,1.05,0.04,4.01,1.44,2.06
0.0,1.0,0.0,0.0,0.0,FW,1.03,0.52,0.26,1.21,1.55,0.17,0.34,0.52,0.52
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,1.15,2.3,1.8,0.0,0.0,1.15,1.64
1.0,0.0,0.0,0.0,0.0,DF,0.03,0.03,0.2,0.78,0.68,0.0,0.17,1.08,0.61
0.0,0.0,0.0,0.0,1.0,MFFW,0.26,0.2,0.52,2.03,1.83,0.78,3.2,0.39,1.63
0.0,1.0,0.0,0.0,0.0,FW,0.34,0.03,0.19,1.68,1.34,1.02,0.12,0.16,0.19
0.0,0.0,0.0,1.0,0.0,MF,0.12,0.0,0.12,2.72,1.11,0.0,0.86,1.11,1.36
0.0,0.0,0.0,1.0,0.0,MF,0.19,0.11,0.11,0.82,1.5,0.11,5.02,0.26,0.37
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.22,1.4,0.86,0.0,2.58,1.72,1.18
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.62,0.31,1.88,0.62,0.0,1.88,0.0,0.94
0.0,0.0,0.0,0.0,1.0,MFFW,0.13,0.0,0.13,2.63,3.16,0.26,2.24,0.0,1.05
0.0,1.0,0.0,0.0,0.0,FW,0.25,0.1,0.15,1.89,1.04,0.7,0.6,0.35,1.49
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.09,0.0,0.2,0.0,0.0,0.0,0.03
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.3,2.0,0.6,0.1,2.8,1.2,2.0
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.0,0.09,0.6,0.38,0.0,0.13,1.11,0.81
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.36,0.36,0.0,0.18,2.0,1.27
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.27,1.35,0.81,0.0,2.43,1.62,1.08
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.22,1.89,0.94,0.17,3.44,0.94,1.44
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.0,0.29,0.96,0.43,0.05,0.0,1.2,0.67
0.0,0.0,0.0,0.0,1.0,MFFW,0.31,0.31,0.0,1.03,1.44,0.31,5.36,0.1,0.31
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.04,0.31,1.74,2.28,0.0,0.18,1.38,1.65
0.0,0.0,0.0,1.0,0.0,MF,0.17,0.34,0.25,2.18,2.52,0.0,5.38,0.42,0.42
0.0,0.0,0.0,0.0,1.0,MFFW,0.44,0.03,0.13,0.86,1.62,0.0,1.4,0.44,0.51
1.0,0.0,0.0,0.0,0.0,DF,0.11,0.11,0.32,1.18,0.27,0.16,3.1,0.59,1.07
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.15,0.08,0.54,0.85,0.15,4.54,0.77,0.69
1.0,0.0,0.0,0.0,0.0,DF,0.4,0.19,0.19,0.81,1.0,0.03,6.42,0.59,1.03
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.0,0.54,1.62,1.08,0.0,0.54,0.54,1.08
0.0,1.0,0.0,0.0,0.0,FW,0.39,0.0,0.13,1.65,2.34,0.78,0.3,0.22,0.22
0.0,1.0,0.0,0.0,0.0,FW,0.34,0.0,0.34,0.69,1.38,0.69,0.69,0.0,0.69
0.0,1.0,0.0,0.0,0.0,FW,0.14,0.0,0.56,3.89,2.92,0.83,0.42,0.14,0.83
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.17,1.86,1.1,0.08,0.93,0.59,1.95
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.0,0.11,0.84,1.07,0.0,3.17,1.76,1.37
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.41,1.41,0.0,0.0,1.09,1.25
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.31,2.96,1.12,0.1,0.41,0.92,0.92
0.0,1.0,0.0,0.0,0.0,FW,0.56,0.11,0.11,2.0,1.0,0.44,0.67,0.0,0.56
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.61,1.61,0.0,0.0,2.58,1.29
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.25,0.49,2.84,2.84,0.12,3.09,0.86,0.99
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.45,1.25,1.02,0.0,0.11,0.34,1.14
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.0,0.0,0.7,2.56,0.0,1.86,0.47,0.93
1.0,0.0,0.0,0.0,0.0,DF,0.13,0.0,0.17,0.92,0.66,0.17,0.04,0.7,0.96
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.14,1.19,0.42,0.0,1.05,1.33,0.7
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.26,0.0,0.77,1.28,0.0,3.08,0.26,1.54
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.62,2.0,0.5,0.38,3.0,0.38,1.38
