DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.07,0.21,1.1,0.34,0.07,0.0,1.23,0.75
0.0,1.0,0.0,0.0,0.0,FW,0.71,0.2,0.71,3.27,2.35,0.2,0.2,0.0,1.02
0.0,1.0,0.0,0.0,0.0,FW,0.09,0.27,0.32,1.23,2.37,0.27,5.02,0.23,1.05
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.49,1.57,1.08,0.1,2.75,1.37,0.69
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.16,1.45,0.48,0.0,0.16,1.37,0.81
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.25,0.75,0.25,0.25,0.0,1.5,0.75
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,0.87,1.3,0.0,3.04,0.0,1.3
0.0,0.0,0.0,1.0,0.0,MF,0.17,0.09,0.26,1.88,2.26,0.26,3.08,0.56,1.32
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.05,1.68,1.59,0.05,1.82,0.64,1.95
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,1.2
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.08,0.0,0.27,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.52,1.9,0.34,0.34,5.0,2.07,1.38
0.0,0.0,0.0,0.0,1.0,MFFW,0.21,0.21,0.14,0.35,1.13,0.21,6.13,0.28,0.56
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.82,0.0,0.0,2.13,0.49,0.98
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.28,1.3,0.47,0.08,0.04,0.98,0.94
0.0,0.0,0.0,1.0,0.0,MF,0.03,0.0,0.14,1.47,0.65,0.0,0.1,0.99,1.13
0.0,0.0,0.0,0.0,1.0,MFFW,0.4,0.25,0.22,0.94,1.58,0.22,4.96,0.14,0.68
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.1,0.19,1.14,1.14,0.1,1.05,0.95,2.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.44,1.31,2.04,0.22,2.7,1.02,0.8
0.0,1.0,0.0,0.0,0.0,FW,0.37,0.31,0.06,1.91,1.36,0.8,2.78,0.43,0.8
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.23,2.62,0.93,0.06,1.69,1.1,0.41
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.91,2.18,2.0,0.18,0.18,0.91,0.73
1.0,0.0,0.0,0.0,0.0,DF,0.27,0.21,0.16,1.12,0.53,0.05,6.81,1.01,0.74
0.0,0.0,0.0,1.0,0.0,MF,0.46,0.0,0.15,0.92,1.69,0.15,1.54,0.0,0.62
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.59,2.09,0.13,0.08,0.13,0.96,1.63
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.14,0.35,2.16,1.18,0.1,4.29,1.18,1.6
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.22,1.56,0.89,0.0,0.67,0.67,0.89
0.0,0.0,0.0,1.0,0.0,MF,0.11,0.0,0.33,2.07,1.96,0.0,0.54,1.3,2.39
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.05,0.28,0.92,1.47,0.09,1.38,0.64,0.92
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.42,1.67,0.73,0.0,0.21,1.04,0.52
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.75,2.62,1.03,0.0,0.75,0.65,1.87
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.26,2.37,0.92,0.0,0.0,0.79,0.53
0.0,0.0,0.0,1.0,0.0,MF,0.2,0.29,0.0,1.37,1.18,0.1,1.47,0.88,1.96
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.62,0.31,1.88,3.44,0.31,4.69,0.62,0.62
0.0,0.0,0.0,0.0,1.0,MFFW,0.05,0.1,0.31,1.31,3.35,0.16,1.73,0.89,1.26
0.0,1.0,0.0,0.0,0.0,FW,0.57,0.23,0.34,1.48,1.7,0.23,0.11,0.34,1.14
0.0,0.0,0.0,1.0,0.0,MF,0.18,0.0,0.36,1.52,1.25,0.0,7.77,0.54,0.62
0.0,0.0,0.0,1.0,0.0,MF,0.57,0.0,0.0,2.29,2.57,0.0,0.0,0.57,2.0
0.0,0.0,0.0,1.0,0.0,MF,0.07,0.0,0.21,2.18,0.99,0.14,2.11,0.92,0.85
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.29,3.24,0.29,0.59,2.65,2.06,0.29
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.2,0.96,0.51,0.0,0.2,1.01,0.86
0.0,1.0,0.0,0.0,0.0,FW,0.33,0.13,0.33,1.46,1.46,0.46,0.73,0.66,0.33
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.44,0.09,1.49,1.67,0.18,2.72,0.61,0.88
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.33,0.67
0.0,0.0,0.0,1.0,0.0,MF,0.2,0.09,0.06,0.72,2.05,0.55,2.07,0.29,0.55
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.05,0.45,1.09,0.5,0.0,0.65,1.39,1.54
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,1.36,3.18,0.0,0.0,0.45,0.0
0.0,1.0,0.0,0.0,0.0,FW,0.25,0.12,0.06,2.06,1.75,0.31,0.06,0.12,0.44
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.25,1.42,3.42,0.08,0.5,0.5,1.5
0.0,0.0,0.0,1.0,0.0,MF,0.23,0.19,0.14,0.89,1.41,0.14,2.72,0.56,0.61
0.0,0.0,0.0,0.0,1.0,MFFW,0.23,0.0,0.34,2.73,2.5,0.23,0.91,0.11,1.25
1.0,0.0,0.0,0.0,0.0,DF,0.15,0.0,0.36,1.68,1.46,0.0,2.77,0.66,2.04
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.3,2.12,0.91,0.0,4.85,0.91,0.91
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.0,0.16,1.21,0.21,0.0,0.11,0.84,1.26
0.0,0.0,0.0,0.0,1.0,MFFW,0.08,0.12,0.28,1.38,1.46,0.12,3.78,0.16,0.65
0.0,0.0,0.0,0.0,1.0,MFFW,0.07,0.07,0.3,1.87,0.97,0.15,3.96,0.52,1.12
0.0,0.0,0.0,0.0,1.0,MFFW,0.15,0.3,0.15,0.76,2.42,0.0,1.52,0.61,0.45
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.0,0.15,1.66,0.23,0.11,3.02,1.17,1.66
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.13,0.0,0.27,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.04,0.04,0.36,2.36,2.96,0.04,0.82,0.68,1.0
0.0,0.0,0.0,0.0,1.0,MFFW,0.24,0.12,0.2,0.51,2.09,0.79,4.23,0.24,0.36
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.07,0.03,0.26,0.0,0.0,0.0,0.03
1.0,0.0,0.0,0.0,0.0,DF,0.1,0.05,0.26,1.36,0.89,0.0,0.89,1.47,1.47
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.18,0.18,1.65,1.28,0.0,1.74,0.64,1.19
0.0,1.0,0.0,0.0,0.0,FW,0.4,0.0,0.35,2.14,1.89,0.75,0.75,0.2,0.7
0.0,0.0,0.0,1.0,0.0,MF,0.13,0.0,0.19,2.45,0.97,0.0,1.35,0.77,1.61
0.0,1.0,0.0,0.0,0.0,FW,0.53,0.0,0.0,1.05,2.37,0.79,0.26,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.07,0.07,0.36,1.14,1.93,0.07,1.14,0.86,1.43
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.68,2.27,3.18,0.0,3.41,0.68,0.91
0.0,0.0,0.0,0.0,1.0,MFFW,0.25,0.0,0.34,1.76,1.76,0.17,6.05,0.67,1.18
1.0,0.0,0.0,0.0,0.0,DF,0.13,0.0,0.26,1.28,1.09,0.0,0.06,0.58,1.35
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.07,0.28,2.21,2.07,0.0,0.97,0.83,1.24
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.2,1.33,0.71,0.1,2.35,1.02,0.92
0.0,0.0,0.0,1.0,0.0,MF,0.4,0.0,0.8,0.8,2.0,0.4,3.2,0.8,0.8
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.24,2.44,0.12,0.0,0.24,1.71,1.46
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.51,1.38,0.65,0.07,0.0,1.16,0.72
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.0,0.27,1.89,0.0,0.27,1.08,2.43,1.08
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.0,0.25,1.4,0.25,0.08,0.58,0.83,0.91
0.0,1.0,0.0,0.0,0.0,FW,0.23,0.58,0.23,2.09,2.91,0.58,3.49,0.7,0.93
0.0,0.0,0.0,1.0,0.0,MF,0.1,0.0,0.1,2.08,1.49,0.1,0.69,0.59,0.79
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.11,0.0,0.56,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,FW,1.14,0.1,0.29,2.0,2.48,0.86,0.38,0.0,0.29
0.0,0.0,0.0,1.0,0.0,MF,0.07,0.0,0.34,2.15,1.88,0.0,0.47,1.61,1.48
0.0,1.0,0.0,0.0,0.0,FW,0.1,0.3,0.2,1.19,0.89,0.0,2.28,0.59,0.4
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.13,0.0,0.07,0.0,0.0,0.0,0.07
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.04,0.44,2.37,1.58,0.0,0.09,1.01,1.93
0.0,0.0,0.0,1.0,0.0,MF,0.16,0.0,0.48,3.49,0.48,0.48,0.79,1.27,2.86
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.08,0.76,0.42,0.0,0.08,0.93,1.02
0.0,0.0,0.0,1.0,0.0,MF,0.26,0.26,0.26,2.05,3.85,0.0,1.79,1.28,2.05
0.0,1.0,0.0,0.0,0.0,FW,0.5,0.0,0.12,2.25,2.12,0.38,0.12,0.5,0.75
0.0,0.0,0.0,1.0,0.0,MF,0.19,0.08,0.34,1.68,1.83,0.31,1.15,0.8,0.88
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.3,2.48,1.02,0.1,0.07,1.02,1.68
0.0,0.0,0.0,1.0,0.0,MF,0.12,0.0,0.12,0.84,2.1,0.3,3.23,0.66,0.42
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.48,1.43,0.0,0.0,0.0,1.43,0.48
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.5,1.0,0.8,0.0,4.7,1.0,1.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.36,0.71,1.07,2.86,0.71,7.86,0.0,0.36
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.24,1.65,0.12,0.0,0.24,1.29,0.71
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.18,0.0,0.26,0.0,0.0,0.03,0.0
0.0,0.0,0.0,0.0,1.0,MFFW,0.14,0.0,0.21,1.75,2.31,0.21,2.31,0.21,1.68
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.46,0.39,0.78,1.11,0.2,6.08,1.18,1.18
0.0,1.0,0.0,0.0,0.0,FW,0.33,0.2,0.13,1.53,0.93,0.07,0.07,0.13,0.4
1.0,0.0,0.0,0.0,0.0,DF,0.29,0.12,0.24,1.88,1.12,0.06,3.47,1.12,1.47
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.17,0.0,0.26,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.14,0.1,0.76,0.43,0.0,5.1,0.57,1.0
0.0,0.0,0.0,1.0,0.0,MF,0.17,0.09,0.26,1.55,0.52,0.04,0.56,0.86,1.33
1.0,0.0,0.0,0.0,0.0,DF,0.2,0.2,0.3,1.7,1.0,0.0,4.4,1.0,0.7
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.53,2.37,0.39,0.13,0.13,0.26,1.05
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.06,0.11,0.94,2.04,0.08,2.34,0.63,1.13
1.0,0.0,0.0,0.0,0.0,DF,0.06,0.06,0.13,0.96,0.38,0.0,0.89,0.83,0.51
0.0,0.0,0.0,1.0,0.0,MF,0.11,0.33,0.22,0.65,0.54,0.22,0.33,0.98,0.98
0.0,1.0,0.0,0.0,0.0,FW,0.4,0.0,0.0,1.2,1.6,0.0,2.4,0.0,0.4
0.0,0.0,0.0,0.0,1.0,MFFW,0.24,0.36,0.36,1.57,0.6,0.24,0.72,0.6,0.72
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.04,0.16,0.82,0.33,0.08,0.0,0.65,0.53
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.05,0.15,1.18,0.84,0.05,0.15,1.03,0.59
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.45,1.59,0.45,0.0,0.0,1.36,0.91
0.0,1.0,0.0,0.0,0.0,FW,0.16,0.0,0.0,1.13,2.26,0.32,0.32,0.48,0.32
0.0,1.0,0.0,0.0,0.0,FW,0.37,0.0,0.5,1.61,1.55,0.56,0.19,0.5,0.37
0.0,1.0,0.0,0.0,0.0,FW,0.54,0.0,0.31,1.54,1.92,0.54,0.54,0.38,0.46
0.0,0.0,0.0,1.0,0.0,MF,0.23,0.0,0.45,1.36,1.59,0.0,1.36,0.68,0.91
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.82,0.91,0.0,5.45,1.36,0.91
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.2,0.0,0.4,2.0,0.0,4.6,0.4,0.8
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.07,0.17,0.88,2.24,0.0,0.34,1.15,1.02
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.95,0.0,0.95,3.33,0.0,6.19,0.95,1.43
1.0,0.0,0.0,0.0,0.0,DF,0.07,0.0,0.14,0.51,1.01,0.0,1.59,0.72,1.3
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.11,0.11,1.38,1.91,0.21,3.62,0.53,1.91
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.04,0.35,1.65,1.42,0.0,0.12,1.15,1.12
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.76,0.0,0.0,1.03,0.59,0.88
0.0,0.0,0.0,1.0,0.0,MF,0.26,0.17,0.09,0.43,1.72,0.6,2.33,0.26,0.34
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,2.0,3.43,1.71,0.0,0.0,0.86,2.57
0.0,0.0,0.0,0.0,1.0,MFFW,0.42,0.0,0.0,1.67,2.92,0.0,0.83,0.42,0.42
0.0,0.0,0.0,1.0,0.0,MF,0.15,0.1,0.3,0.9,1.65,0.1,1.8,0.8,0.65
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,FW,0.31,0.15,0.08,2.23,1.08,0.15,1.15,0.54,1.31
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.17,0.92,0.59,0.0,0.08,1.18,1.6
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.57,0.57,0.0,0.0,2.29,1.43
0.0,1.0,0.0,0.0,0.0,FW,0.32,0.12,0.32,0.48,1.56,0.16,0.36,0.24,0.28
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.06,0.56,1.07,1.02,0.11,0.79,1.19,0.96
1.0,0.0,0.0,0.0,0.0,DF,0.07,0.07,0.07,1.29,1.8,0.0,3.38,1.51,1.51
0.0,0.0,0.0,1.0,0.0,MF,0.06,0.0,0.18,1.37,0.71,0.0,0.12,0.95,1.31
0.0,1.0,0.0,0.0,0.0,FW,0.3,0.0,0.3,2.42,0.91,2.12,4.55,0.61,0.3
0.0,0.0,0.0,1.0,0.0,MF,0.12,0.12,0.73,2.2,1.59,0.12,2.07,0.73,1.22
0.0,0.0,0.0,0.0,1.0,MFFW,0.27,0.14,0.21,1.16,2.12,0.07,3.22,0.14,1.16
0.0,1.0,0.0,0.0,0.0,FW,0.14,0.0,0.43,2.43,2.0,0.43,0.43,0.14,0.71
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.24,0.48,2.44,1.72,0.05,5.31,0.96,2.39
0.0,0.0,0.0,1.0,0.0,MF,0.1,0.05,0.15,1.72,1.72,0.05,0.56,0.66,1.21
0.0,0.0,0.0,1.0,0.0,MF,0.13,0.0,0.39,2.11,0.66,0.39,0.79,1.05,1.05
0.0,0.0,0.0,0.0,1.0,MFFW,0.13,0.22,0.35,1.14,3.29,0.09,3.2,0.66,0.75
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.23,1.21,0.76,0.0,0.23,0.91,0.53
0.0,1.0,0.0,0.0,0.0,FW,0.16,0.16,0.16,1.23,2.51,0.32,2.41,0.91,1.18
0.0,0.0,0.0,1.0,0.0,MF,0.07,0.0,0.43,1.74,0.87,0.0,0.8,1.67,1.01
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.11,0.23,1.21,1.1,0.08,2.39,0.87,1.33
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.33,0.33,1.41,2.39,0.76,6.85,0.22,0.11
0.0,1.0,0.0,0.0,0.0,FW,0.13,0.0,0.13,2.07,1.73,0.2,0.47,0.0,0.27
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.19,0.23,0.98,2.29,0.0,3.46,0.61,0.98
0.0,0.0,0.0,1.0,0.0,MF,0.1,0.31,0.0,1.34,0.62,0.31,2.47,0.41,0.93
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.0,0.18,1.56,1.1,0.0,0.18,0.46,1.1
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.0,0.16,0.62,0.94,0.23,2.89,1.56,1.33
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.03,0.25,1.39,1.3,0.0,1.95,0.87,0.99
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.07,0.21,2.18,1.06,0.0,0.49,1.2,1.34
1.0,0.0,0.0,0.0,0.0,DF,0.4,0.0,0.0,0.0,1.2,0.0,0.4,1.6,0.4
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.22,0.99,0.27,0.05,3.3,0.66,1.21
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.45,0.0,4.32,2.05,0.0,6.14,0.91,1.82
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.0,0.0,1.21,1.52,0.0,0.91,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.09,0.0,0.27,0.76,0.58,0.0,0.24,0.73,1.1
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.7,1.48,1.13,0.0,0.09,0.87,1.65
0.0,0.0,0.0,0.0,1.0,MFFW,0.32,0.16,0.16,0.86,2.11,0.05,2.65,0.32,0.65
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.11,1.3,0.87,0.11,5.54,1.2,1.2
0.0,0.0,0.0,1.0,0.0,MF,0.08,0.0,0.24,1.84,0.4,0.0,0.24,0.96,1.44
0.0,0.0,0.0,1.0,0.0,MF,0.2,0.1,0.0,0.66,0.91,0.1,1.73,1.02,1.78
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.2,0.0,1.43,0.41,0.0,5.92,0.61,0.41
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,1.2,0.8,0.0,0.0,0.4,0.8
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.09,0.27,1.62,1.8,0.63,2.25,1.35,1.26
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,1.43,1.14,0.0,0.57,0.0,0.29
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,0.22,0.65,0.0,0.22,1.3,1.09
1.0,0.0,0.0,0.0,0.0,DF,0.45,0.0,0.45,1.79,0.89,0.0,0.62,1.07,1.07
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.06,0.0,0.48,2.28,1.02,0.12,1.92,0.9,2.04
0.0,0.0,0.0,0.0,1.0,MFFW,0.28,0.23,0.23,0.91,2.73,0.11,2.61,0.4,0.91
0.0,1.0,0.0,0.0,0.0,FW,0.54,0.09,0.23,2.39,2.48,0.32,0.72,0.27,0.9
0.0,0.0,0.0,1.0,0.0,MF,0.31,0.16,0.31,0.79,1.81,0.24,3.07,0.0,0.63
0.0,1.0,0.0,0.0,0.0,FW,0.45,0.0,0.23,1.14,1.36,0.76,0.15,0.15,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.07,0.21,0.07,0.71,2.21,0.07,5.0,0.29,1.0
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.05,0.0,0.08,0.0,0.0,0.03,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.14,1.94,0.42,0.0,0.28,1.94,1.25
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.38,2.29,0.76,0.1,0.0,1.24,1.24
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.12,0.0,0.21,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.03,0.0,0.38,1.47,1.02,0.0,0.2,1.26,1.57
0.0,0.0,0.0,0.0,1.0,MFFW,0.28,0.11,0.11,0.45,1.69,0.45,1.81,0.34,0.4
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.77,0.38,0.0,0.0,0.77,0.77
0.0,0.0,0.0,1.0,0.0,MF,0.08,0.04,0.4,1.66,1.15,0.0,0.43,1.54,1.34
0.0,1.0,0.0,0.0,0.0,FW,0.5,0.17,0.58,0.75,1.17,1.08,1.17,0.0,0.25
0.0,0.0,0.0,1.0,0.0,MF,0.18,0.09,0.09,0.9,1.71,0.0,1.08,1.53,1.17
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.05,0.03,0.34,0.0,0.0,0.05,0.03
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.33,0.0,0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.22,1.52,0.54,0.0,3.91,0.98,1.41
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5,0.75
0.0,0.0,0.0,1.0,0.0,MF,0.1,0.1,0.1,1.41,1.52,0.1,2.32,0.91,0.81
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.0,0.3,1.2,0.68,0.0,0.0,0.98,0.75
0.0,1.0,0.0,0.0,0.0,FW,0.31,0.16,0.27,2.24,2.67,0.31,0.59,0.35,0.75
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,1.27,0.99,0.0,0.7,0.42,0.56
0.0,0.0,0.0,1.0,0.0,MF,0.14,0.0,0.28,0.97,2.22,0.0,2.08,0.0,0.42
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.16,0.89,0.97,0.04,1.01,1.09,1.71
0.0,1.0,0.0,0.0,0.0,FW,0.36,0.0,0.06,0.6,1.51,0.3,0.66,0.12,0.18
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.25,0.0,1.14,2.53,0.0,0.51,0.63,1.77
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.38,1.0,0.12,0.0,0.0,0.88,1.12
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.0,0.3,0.96,0.56,0.05,1.93,1.02,1.68
0.0,1.0,0.0,0.0,0.0,FW,0.16,0.16,0.41,2.21,1.23,0.33,0.33,0.33,0.57
0.0,0.0,0.0,1.0,0.0,MF,0.69,0.54,0.11,0.5,2.07,0.08,5.52,0.23,0.65
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.27,0.41,0.96,2.05,0.55,1.51,0.14,0.68
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.36,1.61,0.9,0.04,2.87,1.61,2.51
0.0,1.0,0.0,0.0,0.0,FW,0.31,0.0,0.31,2.5,0.94,0.94,0.0,0.62,0.31
0.0,0.0,0.0,0.0,1.0,MFFW,0.27,0.07,0.0,1.4,1.0,0.13,1.13,0.27,1.13
0.0,1.0,0.0,0.0,0.0,FW,0.4,0.0,0.32,2.02,3.31,0.4,2.02,0.32,0.48
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,1.36,1.36,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.28,4.13,0.73,0.0,0.64,1.19,2.66
1.0,0.0,0.0,0.0,0.0,DF,0.09,0.09,0.09,0.55,1.09,0.0,1.82,0.91,1.73
0.0,1.0,0.0,0.0,0.0,FW,0.29,0.1,0.29,2.57,2.19,0.19,0.57,0.48,0.38
0.0,0.0,0.0,1.0,0.0,MF,0.16,0.28,0.04,0.6,2.44,0.52,3.4,0.92,0.88
0.0,0.0,0.0,0.0,1.0,MFFW,0.33,0.0,0.33,2.0,1.83,0.0,1.5,0.5,1.17
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.05,0.36,1.03,0.88,0.1,3.45,0.98,0.93
1.0,0.0,0.0,0.0,0.0,DF,0.14,0.14,0.28,0.99,0.56,0.0,3.66,0.42,1.27
1.0,0.0,0.0,0.0,0.0,DF,0.12,0.0,0.12,0.71,0.48,0.0,2.38,1.43,0.6
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.27,0.07,0.61,0.82,0.14,2.11,0.68,1.02
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.24,1.46,0.24,0.12,3.78,0.49,1.34
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11
0.0,0.0,0.0,1.0,0.0,MF,0.27,0.27,0.27,2.16,2.97,0.54,4.32,1.89,1.89
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.31,1.73,1.43,0.0,0.31,1.53,2.35
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.04,0.27,1.28,0.58,0.43,0.78,1.36,1.25
1.0,0.0,0.0,0.0,0.0,DF,0.13,0.0,0.22,0.96,0.35,0.09,0.04,0.83,1.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.18,0.44,0.7,0.0,0.09,1.14,1.05
1.0,0.0,0.0,0.0,0.0,DF,0.1,0.0,0.2,1.3,0.9,0.0,0.1,1.5,1.3
