Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Camilo,br BRA,MFDF,Grêmio,1999,16,6,735,0,0,0,0,2,0,0,20,1,0,2,14,12,0,8.2
Camutanga,br BRA,DF,Vitória,1993,15,15,1238,0,0,0,0,7,0,0,19,9,1,0,16,10,0,13.8
Carlos Alberto,br BRA,MFFW,Sport Recife,2002,9,4,330,0,0,0,0,1,0,0,7,0,1,4,9,4,0,3.7
Carlos Cuesta,co COL,DF,Vasco da Gama,1999,13,12,1092,1,0,0,0,3,0,0,17,3,1,7,10,11,0,12.1
Carlos Eduardo,br BRA,FWMF,Mirassol / Vitória,1996,26,5,775,2,5,1,1,2,0,0,18,25,5,30,6,8,0,8.6
Carlos Eduardo,br BRA,MF,Cruzeiro,1989,29,9,906,1,0,0,0,1,1,0,21,15,1,7,6,8,0,10.1
Carlos Miguel,br BRA,GK,Palmeiras,1998,9,9,810,0,0,0,0,1,0,0,0,5,0,0,0,0,0,9.0
Carlos Vinícius,br BRA,FW,Grêmio,1995,14,12,942,12,1,3,3,3,1,0,21,26,9,4,0,3,0,10.5
Cauan Barros,br BRA,MF,Vasco da Gama,2004,17,16,1340,1,0,0,0,5,0,0,32,28,0,7,24,22,0,14.9
Cauly Oliveira Souza,br BRA,FWMF,Bahia,1995,29,7,910,1,3,0,0,2,0,0,12,9,0,23,6,4,0,10.1
Caíque França,br BRA,GK,Sport Recife,1995,15,15,1350,0,0,0,0,2,0,0,0,1,0,0,0,1,0,15.0
Caíque Gonçalves,br BRA,MF,Juventude,1995,28,26,2049,0,1,0,0,10,0,0,54,36,0,2,23,44,0,22.8
Charles Rigon Matos,br BRA,MFDF,Corinthians,1996,17,6,571,1,0,0,0,3,1,0,22,3,3,5,8,18,0,6.3
Chico,br BRA,DF,Sport Recife,1998,13,12,1060,0,0,0,0,1,0,0,9,5,0,1,11,12,0,11.8
Chico,br BRA,MF,Mirassol,1991,13,2,349,1,1,0,0,1,0,0,8,15,0,7,5,8,0,3.9
Chris Ramos,es ESP,FW,Botafogo–RJ,1997,13,8,718,4,0,0,0,1,1,0,18,17,3,1,4,6,0,8.0
Christian,br BRA,MF,Cruzeiro,2000,30,29,2357,5,2,0,0,9,0,0,44,48,8,30,21,23,0,26.2
Christian Rivera,co COL,MF,Sport Recife,1996,33,32,2729,0,0,0,0,9,0,0,75,31,3,2,31,51,0,30.3
Chrystian Barletta,br BRA,MF,Sport Recife,2001,34,17,1499,2,0,0,0,2,0,0,14,35,5,54,11,7,0,16.7
Cipriano,br BRA,DF,Juventude,2002,3,3,189,0,0,0,0,1,1,0,3,0,0,0,3,1,0,2.1
Claudinho,br BRA,DFMF,Vitória,2000,15,9,901,0,0,0,0,5,0,0,10,8,0,47,10,10,0,10.0
Clayson,br BRA,MF,Mirassol,1995,6,3,256,0,1,0,0,2,0,0,3,8,2,22,0,1,0,2.8
Clayton,br BRA,DF,Internacional,2000,11,8,762,0,0,0,0,2,0,0,14,1,0,2,11,6,0,8.5
Cleiton Schwengber,br BRA,GK,RB Bragantino,1997,34,34,3060,0,0,0,0,6,0,0,0,9,0,0,1,0,0,34.0
Cristian Olivera,uy URU,MFFW,Grêmio,2002,22,15,1285,2,0,0,0,3,0,0,25,33,3,33,3,24,0,14.3
Cristian Pavón,ar ARG,MF,Grêmio,1996,28,14,1373,0,7,0,0,6,0,0,12,17,3,93,18,18,0,15.3
Cristian Renato,br BRA,FW,Mirassol,2000,32,11,1351,5,3,0,0,2,0,0,23,14,1,1,2,6,0,15.0
Cuiabano,br BRA,DFMF,Botafogo–RJ,2003,30,15,1534,5,2,0,0,4,0,0,32,19,1,59,19,25,0,17.0
Cássio,br BRA,GK,Cruzeiro,1987,35,35,3086,0,0,0,0,6,0,0,0,9,0,0,0,0,0,34.3
Cédric Soares,pt POR,MFDF,São Paulo,1991,25,22,1889,0,3,0,0,2,0,0,16,9,0,107,12,21,0,21.0
Damián Bobadilla,py PAR,MF,São Paulo,2001,31,22,2100,4,2,0,0,6,0,0,36,12,1,13,20,31,0,23.3
Daniel Borges,br BRA,DF,Mirassol,1993,16,9,904,2,2,0,0,3,0,0,17,10,0,44,10,7,0,10.0
Daniel Fuzato,br BRA,GK,Vasco da Gama,1997,3,2,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Daniel Giraldo,co COL,MF,Juventude,1992,15,7,681,0,0,0,0,4,0,0,18,3,1,1,2,8,0,7.6
Danielzinho,br BRA,MF,Mirassol,1994,37,37,3265,0,2,0,0,4,0,0,34,74,3,85,23,41,0,36.3
Danilo,br BRA,DF,Flamengo,1991,20,14,1410,1,1,0,0,2,1,0,15,6,0,14,13,8,0,15.7
Danilo Santos,br BRA,MF,Botafogo–RJ,2001,13,10,827,1,3,0,0,2,0,0,6,5,2,3,9,9,0,9.2
Davi Gomes,br BRA,FW,RB Bragantino,2005,7,0,221,1,0,0,0,0,0,0,3,4,0,6,0,1,0,2.5
David,br BRA,MFFW,Vasco da Gama,1995,24,5,750,2,3,0,0,3,1,0,13,5,2,6,5,6,0,8.3
David Duarte,br BRA,DF,Bahia,1995,25,24,2207,1,1,0,0,4,0,0,20,8,2,0,16,13,0,24.5
David Loiola,br BRA,DF,Botafogo–RJ,2002,22,20,1830,1,1,0,0,3,2,0,24,17,1,3,21,12,0,20.3
David Luiz,br BRA,DF,Fortaleza,1987,7,4,399,0,0,0,0,2,0,0,7,2,0,0,6,4,0,4.4
Deivid Washington,br BRA,FW,Santos,2005,17,5,557,1,0,0,0,0,0,0,7,14,2,2,3,2,0,6.2
