Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Matheus Pereira da Silva,br BRA,MF,Fortaleza,1998,19,15,1285,1,3,0,0,4,1,0,21,9,0,37,19,7,0,14.3
Matheus Rossetto,br BRA,MF,Fortaleza,1996,20,10,924,0,0,0,0,1,0,0,6,5,1,5,3,8,0,10.3
Matheusinho,br BRA,MF,Vitória,1997,29,18,1768,4,1,2,2,5,1,0,17,62,2,63,11,17,0,19.6
Matheusinho,br BRA,MFFW,Sport Recife,1998,25,22,1653,2,2,0,0,1,1,0,15,35,2,42,21,14,0,18.4
Matheuzinho,br BRA,DFMF,Corinthians,2000,31,28,2632,2,3,0,0,12,0,0,30,27,1,104,35,40,0,29.2
Mathías Villasanti,py PAR,MF,Grêmio,1997,16,14,1150,0,0,0,0,5,0,0,27,13,0,3,25,31,0,12.8
Matias Arezo,uy URU,FW,Grêmio,2002,8,3,268,1,1,0,0,1,0,0,5,2,2,4,0,1,0,3.0
Matías Viña,uy URU,DF,Flamengo,1997,8,2,281,0,0,0,0,1,0,0,5,3,0,7,3,6,0,3.1
Mauricio,py PAR,MFFW,Palmeiras,2001,29,18,1598,3,7,0,0,1,0,0,14,24,8,33,13,10,0,17.8
Mauricio Lemos,uy URU,DF,Vasco da Gama,1995,4,3,243,0,0,0,0,0,0,0,1,0,0,0,4,1,0,2.7
Maycon,br BRA,MF,Corinthians,1997,25,16,1491,3,0,1,1,4,0,0,14,6,0,24,9,17,0,16.6
Mayke,br BRA,DF,Santos,1992,12,9,821,0,0,0,0,3,0,0,12,7,0,19,8,12,0,9.1
Mayke,br BRA,DFMF,Palmeiras,1992,3,3,211,0,0,0,0,1,0,0,10,2,1,11,1,4,0,2.3
Maykon Jesus,br BRA,DFMF,Vitória,2005,9,8,766,0,0,0,0,1,0,0,16,9,0,32,6,10,0,8.5
Memphis,nl NED,FW,Corinthians,1994,23,17,1544,6,3,1,2,4,0,0,21,31,2,67,2,2,0,17.2
Micael,br BRA,DF,Palmeiras,2000,16,15,1295,0,1,0,0,4,0,0,27,2,0,2,10,16,0,14.4
Michael,br BRA,MF,Flamengo,1996,15,6,621,1,3,0,0,0,0,0,2,6,1,18,1,4,0,6.9
Michel Araujo,uy URU,MF,Bahia,1996,24,8,852,4,1,0,0,3,0,0,16,17,1,12,7,23,0,9.5
Miguel Monsalve,co COL,MFFW,Grêmio,2004,9,2,297,0,1,0,0,2,0,0,9,8,0,14,0,5,0,3.3
Moises,br BRA,MFFW,Fortaleza,1996,12,3,385,0,1,0,0,1,0,0,2,2,2,0,1,3,0,4.3
Murilo Cerqueira,br BRA,DF,Palmeiras,1997,20,20,1660,1,1,0,0,6,0,0,29,6,0,9,15,19,0,18.4
Nahuel Ferraresi,ve VEN,DF,São Paulo,1998,24,19,1797,0,3,0,0,3,0,0,34,29,1,26,29,54,1,20.0
Natanael,br BRA,DFMF,Atlético Mineiro,2002,34,24,2142,1,0,0,0,2,0,0,23,23,7,50,23,36,0,23.8
Nathan Fernandes,br BRA,MFFW,Botafogo–RJ,2005,10,2,330,1,2,0,0,1,0,0,4,5,2,5,3,1,0,3.7
Nathan Mendes,br BRA,DF,RB Bragantino,2002,19,12,1158,0,1,0,0,3,0,0,12,20,3,19,12,11,0,12.9
Negueba,br BRA,FWMF,Mirassol,1999,33,27,2157,7,3,0,0,3,0,0,17,54,5,87,12,18,0,24.0
Nenê,br BRA,FWMF,Juventude,1981,25,12,1009,3,4,2,2,3,0,0,10,35,1,88,2,5,0,11.2
Neris,br BRA,DF,Vitória,1992,10,6,534,0,0,0,0,1,1,0,14,4,2,0,6,2,0,5.9
Neto,br BRA,GK,Botafogo–RJ,1989,3,3,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Neto Moura,br BRA,MF,Mirassol,1996,34,31,2428,1,0,0,0,10,0,0,38,24,0,5,38,50,0,27.0
Newton,br BRA,MF,Botafogo–RJ,2000,25,16,1494,1,0,0,0,5,0,0,43,8,1,7,19,21,0,16.6
Neymar,br BRA,FWMF,Santos,1992,20,17,1528,8,1,2,2,8,1,1,21,68,4,66,3,2,0,17.0
Nicolas,br BRA,DF,Ceará,1997,13,6,593,0,0,0,0,1,0,0,10,9,0,45,7,5,0,6.6
Nicolás Acevedo,uy URU,MF,Bahia,1999,32,18,1690,0,1,0,0,6,0,0,44,28,0,10,30,42,0,18.8
Nicolás De La Cruz,uy URU,MF,Flamengo,1997,19,12,1018,0,0,0,0,4,0,0,17,33,0,28,9,15,0,11.3
Nonato,br BRA,MF,Fluminense,1998,20,8,914,2,1,0,0,4,0,0,19,15,0,4,9,15,0,10.2
Nuno Gonçalo Moreira,pt POR,MFFW,Vasco da Gama,1999,36,35,2549,7,5,0,0,4,0,0,18,43,7,84,16,20,0,28.3
Oscar,br BRA,MFFW,São Paulo,1991,6,5,345,0,0,0,0,1,0,0,3,3,0,26,7,2,0,3.8
Osvaldo,br BRA,MF,Vitória,1987,27,11,996,0,2,0,0,3,0,0,6,20,3,68,8,5,0,11.1
Otávio,br BRA,MF,Fluminense,1994,6,2,217,0,0,0,0,0,0,0,5,8,0,1,5,2,0,2.4
Pablo,br BRA,FW,Sport Recife,1992,21,13,1055,3,1,0,0,1,0,0,17,19,8,3,2,6,0,11.7
Pablo Maia,br BRA,MF,São Paulo,2002,25,17,1471,1,0,0,0,4,0,0,30,28,0,2,4,20,0,16.3
Pablo Vegetti,ar ARG,FW,Vasco da Gama,1988,35,27,2335,14,1,3,3,3,0,0,31,45,9,2,7,10,1,25.9
Patrick Silva,br BRA,MF,Atlético Mineiro,2004,3,2,224,0,0,0,0,0,0,0,3,3,0,1,6,2,0,2.5
Patrick de Paula,br BRA,MF,Botafogo–RJ,1999,6,4,284,0,0,0,0,0,0,0,4,5,0,2,4,3,0,3.2
Patryck,br BRA,MFDF,São Paulo,2003,5,3,309,0,0,0,0,1,0,0,4,3,0,20,3,3,0,3.4
Paulinho,br BRA,MF,Vasco da Gama,1997,11,4,310,0,0,0,0,2,0,0,13,11,0,4,3,3,0,3.4
Paulinho,br BRA,MF,Palmeiras,2000,7,1,224,0,0,0,0,0,0,0,1,2,1,5,0,1,0,2.5
Paulo Baya,br BRA,MFFW,Ceará,1999,15,4,436,0,0,0,0,0,0,0,2,5,1,38,1,2,0,4.8
Paulo Henrique,br BRA,DF,Vasco da Gama,1996,28,28,2490,1,8,0,0,11,1,1,57,29,1,111,40,57,0,27.7
Pedro,br BRA,FW,Flamengo,1997,21,13,1047,12,6,1,2,3,0,0,14,18,2,4,6,6,0,11.6
Pedro Borges,br BRA,MF,Fortaleza / Sport Recife,1997,14,4,545,0,0,0,0,7,1,1,14,11,0,0,7,10,0,6.1
Pedro Henrique,br BRA,DF,RB Bragantino,1995,31,31,2654,1,1,0,0,6,0,0,23,20,0,5,32,18,0,29.5
Pedro Henrique,br BRA,MFFW,Ceará,1990,28,17,1380,4,3,0,0,8,0,0,31,28,12,49,6,25,0,15.3
Pedro Raul,br BRA,FW,Ceará,1996,34,34,2896,11,1,1,1,6,0,0,54,43,33,4,5,6,0,32.2
Peixoto,br BRA,MFDF,Juventude,1997,13,8,733,1,0,0,0,1,0,0,22,9,0,7,9,11,0,8.1
Philippe Coutinho,br BRA,MF,Vasco da Gama,1992,30,30,2403,5,3,0,0,3,1,0,22,40,3,134,7,10,0,26.7
Pierre,br BRA,MF,Fortaleza,2002,13,10,839,0,0,0,0,2,0,0,13,8,0,24,16,11,0,9.3
Pol Fernández,ar ARG,MF,Fortaleza,1991,7,3,286,0,2,0,0,1,0,0,6,2,0,6,0,3,0,3.2
Rafael Bilu,br BRA,MFFW,Juventude,1999,15,10,688,1,0,0,0,1,0,0,20,24,2,17,0,8,0,7.6
Rafael Borré,co COL,FW,Internacional,1995,30,20,1809,5,2,1,1,3,1,0,38,21,14,12,7,30,0,20.1
Rafael Pires,br BRA,GK,São Paulo,1989,35,35,3150,0,0,0,0,3,0,0,0,7,0,0,0,1,0,35.0
Rafael Ramos,pt POR,DFMF,Ceará,1995,20,9,904,0,0,0,0,3,0,0,20,6,1,28,12,20,0,10.0
Rafael Thyere,br BRA,DF,Sport Recife,1993,24,24,2106,1,0,0,0,2,0,0,14,9,0,3,26,19,0,23.4
Rafael Tolói,it ITA,DF,São Paulo,1990,7,6,499,0,0,0,0,0,0,0,2,2,0,1,11,7,0,5.5
Ramon,br BRA,DF,Internacional,2001,5,4,329,0,0,0,0,1,0,0,5,3,0,9,6,4,0,3.7
Ramon,br BRA,DFMF,Vitória,2001,18,18,1620,0,0,0,0,4,0,0,34,17,3,62,17,26,0,18.0
Ramon Menezes Roma,br BRA,DF,Sport Recife,1995,23,22,1876,1,0,0,0,6,1,1,20,9,1,0,25,14,0,20.8
Ramón Sosa,py PAR,MFFW,Palmeiras,1999,23,6,876,3,3,0,0,0,0,0,10,14,3,52,1,3,0,9.7
Raniele,br BRA,MFDF,Corinthians,1996,30,25,2013,2,1,0,0,7,0,0,39,51,0,4,31,37,0,22.4
Raphael Veiga,br BRA,MF,Palmeiras,1995,25,13,1067,2,4,1,1,3,0,0,26,30,0,64,5,5,0,11.9
Rayan,br BRA,MFFW,Vasco da Gama,2006,34,32,2835,14,1,2,2,4,0,0,27,51,0,44,14,16,0,31.5
Raúl Cáceres,py PAR,DFMF,Vitória,1991,20,20,1685,2,2,0,0,6,0,0,22,5,3,58,11,20,0,18.7
Reginaldo,br BRA,DF,Juventude,1993,18,14,1170,0,2,0,0,1,0,0,7,11,2,59,10,9,0,13.0
Reinaldo,br BRA,DF,Mirassol,1989,34,33,2892,13,6,6,7,6,0,0,26,32,1,206,19,33,0,32.1
Reinier,br BRA,FWMF,Atlético Mineiro,2002,13,3,333,0,0,0,0,2,0,0,6,4,0,2,2,4,0,3.7
Renato Kayser,br BRA,FW,Vitória,1996,30,25,2083,9,0,1,1,3,0,0,38,54,18,7,5,5,0,23.1
Renato Marques,br BRA,FW,Mirassol,2003,7,3,261,1,0,0,0,1,0,0,2,4,2,2,0,2,0,2.9
Renzo López,uy URU,FW,Vitória,1994,23,5,651,1,0,0,0,4,0,0,28,21,6,3,1,6,0,7.2
Renzo Saravia,ar ARG,DFMF,Atlético Mineiro,1993,19,12,1065,0,0,0,0,2,0,0,22,13,1,11,7,23,0,11.8
Renê,br BRA,DF,Fluminense,1992,28,27,2362,2,0,0,0,3,0,0,22,28,0,83,46,36,0,26.2
Rezende,br BRA,MFDF,Bahia,1995,11,5,580,0,0,0,0,0,0,0,9,9,0,0,7,8,0,6.4
Ricardo,br BRA,MF,Vitória,1994,20,11,882,0,0,0,0,3,0,0,29,11,1,4,9,9,0,9.8
Ricardo Mathias,br BRA,FW,Internacional,2006,22,7,809,5,1,0,0,1,0,0,18,9,4,6,0,5,1,9.0
Richard,br BRA,MF,Internacional,1994,7,3,275,0,0,0,0,0,0,0,5,5,0,0,8,4,0,3.1
Richard Ríos,co COL,MF,Palmeiras,2000,10,10,733,0,2,0,0,4,0,0,23,23,1,25,7,8,0,8.1
Richardson,br BRA,MF,Ceará,1991,16,10,790,0,0,0,0,4,0,0,11,9,0,1,3,10,0,8.8
Riquelme Freitas,br BRA,MFFW,Grêmio,2006,10,4,388,0,0,0,0,0,0,0,3,11,0,8,2,4,0,4.3
Robert Arboleda,ec ECU,DF,São Paulo,1991,24,22,2057,3,0,0,0,4,0,0,21,15,4,1,16,22,0,22.9
Robert Renan,br BRA,DF,Vasco da Gama,2003,15,15,1287,0,0,0,0,2,0,0,17,6,0,15,19,10,0,14.3
Robinho Junior,br BRA,MFFW,Santos,2007,15,2,352,0,1,0,0,0,0,0,3,5,0,12,1,6,0,3.9
Rodrigo,br BRA,MF,São Paulo,2004,18,8,724,0,0,0,0,5,0,0,16,4,3,24,3,11,0,8.0
Rodrigo Atencio,ar ARG,MF,Sport Recife,2002,19,2,544,0,0,0,0,1,0,0,4,7,0,36,4,3,0,6.0
Rodrigo Garro,ar ARG,MFFW,Corinthians,1998,19,15,1410,0,3,0,0,6,0,0,21,60,1,113,4,9,0,15.7
Rodrigo Nestor,br BRA,MFFW,Bahia,2000,22,8,875,5,0,0,0,5,0,0,18,17,2,33,4,16,0,9.7
Rodrigo Sam,br BRA,DF,Juventude,1995,18,16,1457,1,0,0,0,8,0,0,32,21,5,1,27,21,0,16.2
Rodrigo Santos,br BRA,MF,Fortaleza,2000,8,2,225,0,0,0,0,2,0,0,9,3,0,0,1,6,0,2.5
Romarinho,br BRA,MFFW,Sport Recife,1994,26,7,912,2,0,0,0,0,0,0,2,28,2,24,5,3,0,10.1
Ronald,br BRA,DF,Grêmio,2003,6,1,233,0,0,0,0,0,0,0,1,2,0,0,1,5,0,2.6
Ronald,br BRA,MF,Vitória,1997,29,23,1871,0,2,0,0,7,0,0,39,23,3,41,12,32,0,20.8
Ronaldo,br BRA,GK,Bahia,1996,28,28,2448,0,1,0,0,1,0,0,1,7,0,0,0,0,1,27.2
Ronaldo,br BRA,MF,Internacional,1996,15,6,774,0,0,0,0,4,1,0,20,3,2,0,13,23,0,8.6
Rony,br BRA,FWMF,Atlético Mineiro,1995,35,29,2500,6,5,0,0,4,1,0,52,57,20,58,21,18,0,27.8
Ruan,br BRA,DF,Atlético Mineiro / São Paulo,1999,16,11,1172,1,0,0,0,5,0,0,17,9,0,0,22,11,0,13.0
Ruan Carneiro,br BRA,GK,Juventude,1990,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Rubens,br BRA,MFDF,Atlético Mineiro,2001,13,11,1033,1,0,0,0,2,0,0,17,10,0,18,28,30,0,11.5
Ryan Francisco,br BRA,FW,São Paulo,2006,8,2,205,2,0,0,0,0,0,0,4,6,1,2,0,0,0,2.3
Ryan Gustavo,br BRA,MF,Corinthians,2003,16,5,527,0,0,0,0,1,0,0,13,14,0,2,8,12,0,5.9
Rômulo,br BRA,DF,Atlético Mineiro,2004,3,2,209,0,0,0,0,1,0,0,5,0,0,1,6,4,0,2.3
Samuel Lino,br BRA,MF,Flamengo,1999,21,19,1394,4,5,0,0,1,0,0,14,19,2,49,4,16,0,15.5
Samuel Xavier,br BRA,DF,Fluminense,1990,29,26,2385,4,1,0,0,5,0,0,32,34,0,53,15,30,0,26.5
Santi Ramos Mingo,ar ARG,DF,Bahia,2001,33,33,2926,0,0,0,0,9,1,1,32,24,2,3,29,17,0,32.5
Santiago Arias,co COL,DF,Bahia,1992,21,15,1419,0,0,0,0,3,0,0,10,18,3,33,19,17,0,15.8
Santiago Rodríguez,uy URU,MF,Botafogo–RJ,2000,26,14,1328,2,5,0,0,6,0,0,22,41,2,55,11,19,0,14.8
Saúl Ñíguez,es ESP,MF,Flamengo,1994,16,12,1156,0,2,0,0,3,0,0,30,5,0,11,17,24,0,12.8
Sergio Rochet,uy URU,GK,Internacional,1993,15,15,1305,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14.5
Shaylon,br BRA,MF,Mirassol,1997,13,3,439,0,0,0,0,1,0,0,5,1,1,7,5,8,0,4.9
Souza,br BRA,DF,Santos,2006,24,19,1639,1,2,0,0,4,0,0,22,20,1,77,21,30,0,18.2
Sérgio Oliveira,pt POR,MF,Sport Recife,1992,19,10,997,1,1,0,0,5,0,0,16,12,0,59,5,19,0,11.1
Talles Magno,br BRA,MFFW,Corinthians,2002,24,10,961,1,1,0,0,2,0,0,22,37,9,3,5,17,0,10.7
Tchê Tchê,br BRA,MF,Vasco da Gama,1992,29,24,2000,1,0,0,0,3,0,0,26,41,1,11,12,10,0,22.2
Thaciano,br BRA,MFFW,Santos,1995,19,5,614,3,0,0,0,2,0,0,5,9,9,4,3,8,0,6.8
Thiago,br BRA,GK,Vitória,1999,9,8,785,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.7
Thiago Borbas,uy URU,FW,RB Bragantino,2002,19,5,580,1,1,0,0,4,0,0,17,7,0,1,1,4,0,6.4
Thiago Maia,br BRA,MF,Internacional,1997,31,25,1980,2,1,0,0,3,0,0,24,11,0,10,32,25,0,22.0
Thiago Mendes,br BRA,MF,Vasco da Gama,1992,8,3,300,0,0,0,0,1,0,0,5,4,0,0,4,1,0,3.3
Thiago Silva,br BRA,DF,Fluminense,1984,25,24,2157,2,0,0,0,1,0,0,11,9,0,4,20,5,0,24.0
Thiago dos Santos,br BRA,MFDF,Fluminense,1989,10,3,287,0,0,0,0,2,0,0,10,3,0,0,3,8,0,3.2
Tiago,br BRA,FW,Bahia,2005,25,5,902,3,2,0,0,2,0,0,18,28,3,11,0,10,0,10.0
Tiago Volpi,br BRA,GK,Grêmio,1990,32,32,2880,2,0,2,2,2,0,0,1,10,0,0,0,0,0,32.0
Tiquinho Soares,br BRA,FW,Santos,1991,27,13,1252,2,3,2,2,3,0,0,29,38,5,2,2,9,0,13.9
Titi,br BRA,DF,Fortaleza,1988,3,3,269,0,0,0,0,2,1,1,4,1,0,0,10,1,0,3.0
Tomas Pochettino,ar ARG,MFFW,Fortaleza,1996,26,18,1537,3,4,0,0,3,0,0,11,13,4,115,24,21,0,17.1
Tomás Cuello,ar ARG,MFFW,Atlético Mineiro,2000,16,14,1203,1,1,0,0,3,1,0,18,28,1,33,7,16,0,13.4
Tomás Rincón,ve VEN,MF,Santos,1988,17,11,922,0,0,0,0,4,1,0,24,7,0,7,11,13,0,10.2
Vanderlan,br BRA,DF,RB Bragantino,2002,14,12,1055,0,1,0,0,4,0,0,21,9,1,56,5,15,0,11.7
Vanderlan,br BRA,DFMF,Palmeiras,2002,3,3,198,0,0,0,0,0,0,0,5,3,0,6,4,3,0,2.2
Victor Gabriel,br BRA,DF,Internacional,2004,14,13,1109,2,0,0,0,1,0,0,21,4,0,3,18,18,0,12.3
Victor Hugo,br BRA,MF,Santos / Flamengo,2004,10,6,449,0,0,0,0,0,0,0,3,3,0,7,2,2,0,5.0
Victor Luis,br BRA,MFDF,Vasco da Gama,1993,7,2,273,0,0,0,0,0,1,0,4,5,0,11,2,1,1,3.0
Vinicius Mendonça,br BRA,MF,RB Bragantino,2004,23,11,1039,0,3,0,0,2,0,0,16,39,4,19,6,16,0,11.5
Vinícius,br BRA,MF,Ceará,1991,16,5,567,0,1,0,0,2,1,0,8,8,0,32,0,2,0,6.3
Vinícius Zanocelo,br BRA,MF,Ceará,2001,15,12,1087,1,0,0,0,2,0,0,24,6,0,7,14,15,0,12.1
Vitinho,br BRA,DF,Botafogo–RJ,1999,36,34,2831,1,2,0,0,3,0,0,29,18,4,120,25,39,0,31.5
Vitinho,br BRA,FW,Corinthians,1993,12,4,479,0,3,0,0,0,0,0,6,11,1,28,2,8,0,5.3
Vitinho,br BRA,MFFW,Internacional,1999,27,20,1679,5,1,0,0,4,0,0,42,35,5,33,16,20,0,18.7
Vitor Hugo,br BRA,DF,Atlético Mineiro,1991,23,20,1639,3,0,0,0,3,1,0,18,3,1,0,29,19,0,18.2
Vitor Roque,br BRA,FW,Palmeiras,2005,33,24,2117,16,3,1,1,4,0,0,35,91,17,16,5,16,0,23.5
Vitão,br BRA,DF,Internacional,2000,31,31,2719,0,2,0,0,5,0,0,22,1,0,2,21,20,1,30.2
Wagner,br BRA,DF,Grêmio,1999,29,26,2369,0,2,0,0,3,0,0,21,6,1,0,37,16,0,26.3
Walace,br BRA,MF,Cruzeiro,1995,17,4,384,0,0,0,0,4,0,0,10,3,0,3,6,4,0,4.3
Wallace,br BRA,FW,Flamengo,2005,17,4,443,1,2,0,0,5,1,1,10,22,5,9,3,4,0,4.9
Walter,br BRA,GK,Mirassol,1987,31,31,2790,0,0,0,0,5,0,0,0,5,0,0,0,0,0,31.0
Walter Kannemann,ar ARG,DF,Grêmio,1991,20,19,1723,0,0,0,0,8,1,0,24,13,0,2,23,11,0,19.1
Wanderson,br BRA,MF,Cruzeiro,1994,27,25,1792,0,2,0,0,2,0,0,25,15,6,65,6,8,0,19.9
Wellington Rato,br BRA,FWMF,Vitória,1992,5,3,212,1,0,0,0,0,0,0,3,3,0,9,1,1,0,2.4
Wendell,br BRA,MFDF,São Paulo,1993,16,11,838,0,1,0,0,0,0,0,13,16,1,33,10,13,0,9.3
Wesley,br BRA,DF,Flamengo,2003,11,11,982,1,2,0,0,4,0,0,16,22,1,49,9,20,0,10.9
Wesley,br BRA,MFFW,Internacional,1999,18,16,1233,0,3,0,0,2,0,0,20,35,6,33,6,20,0,13.7
Weverson,br BRA,DF,Fortaleza,2000,4,2,219,0,0,0,0,0,0,0,6,2,0,6,1,2,0,2.4
Wilker Ángel,ve VEN,DF,Juventude,1993,18,16,1423,1,0,0,0,5,0,0,26,5,3,0,12,6,0,15.8
William,br BRA,DF,Cruzeiro,1995,30,25,2281,0,6,0,0,4,1,1,40,18,4,165,43,49,0,25.3
Willian,br BRA,MF,Grêmio,1988,6,4,308,1,2,1,1,0,0,0,2,8,0,19,1,1,0,3.4
Willian,br BRA,MF,Vitória,1993,20,16,1411,1,0,0,0,8,0,0,35,14,0,2,21,12,0,15.7
Willian Arão,br BRA,MF,Santos,1992,13,9,779,0,0,0,0,0,0,0,11,11,1,0,15,7,0,8.7
Willian José,br BRA,FW,Bahia,1991,33,28,2115,11,6,3,5,3,0,0,12,21,3,9,5,9,0,23.5
Willian Machado,br BRA,DF,Ceará,1996,36,36,3219,0,1,0,0,7,0,0,25,19,1,7,29,29,1,35.8
Wéverton,br BRA,GK,Palmeiras,1987,26,26,2340,0,0,0,0,2,0,0,0,10,0,0,0,1,0,26.0
Yago,br BRA,MF,Mirassol,1995,19,8,630,0,1,0,0,3,0,0,15,25,0,5,7,7,0,7.0
Yago Pikachu,br BRA,MFFW,Fortaleza,1992,31,14,1389,2,1,2,2,2,0,0,16,21,4,61,4,7,0,15.4
Yeferson Soteldo,ve VEN,MF,Santos / Fluminense,1997,22,6,822,2,2,0,0,1,0,0,4,23,1,76,3,6,0,9.1
Yeison Guzmán,co COL,MF,Fortaleza,1998,5,1,188,0,0,0,0,0,0,0,2,4,0,12,1,1,0,2.1
Young,br BRA,GK,São Paulo,2002,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Yuri Alberto,br BRA,FW,Corinthians,2001,26,21,2005,10,2,2,3,3,0,0,23,44,12,5,3,9,0,22.3
Zé Ivaldo,br BRA,DF,Santos,1997,21,20,1799,1,0,0,0,8,1,1,23,16,2,5,21,24,0,20.0
Zé Lucas,br BRA,MF,Sport Recife,2008,24,21,1596,0,0,0,0,4,0,0,29,24,2,6,28,28,0,17.7
Zé Marcos,br BRA,DF,Vitória,1998,28,26,2426,1,1,0,0,6,0,0,23,20,2,4,18,16,0,27.0
Zé Rafael,br BRA,MF,Santos,1993,27,22,1854,1,0,0,0,6,0,0,41,52,1,5,13,45,0,20.6
Álvaro Barreal,ar ARG,MFFW,Santos,2000,34,28,2239,9,1,1,1,2,0,0,28,21,6,125,22,25,0,24.9
Álvaro Montoro,ar ARG,MF,Botafogo–RJ,2007,16,10,936,3,3,0,0,3,0,0,10,12,0,13,13,16,0,10.4
Ángel Romero,py PAR,FWMF,Corinthians,1992,27,11,1068,0,1,0,0,4,1,0,12,24,6,26,7,13,0,11.9
Éverson,br BRA,GK,Atlético Mineiro,1990,36,36,3240,0,0,0,0,8,0,0,0,6,0,0,2,0,0,36.0
Ênio,br BRA,MFFW,Juventude,2001,26,8,1108,3,0,0,0,3,0,0,8,34,6,30,1,4,0,12.3
Óscar Romero,py PAR,MF,Internacional,1992,17,5,505,0,1,0,0,3,0,0,9,18,0,29,5,8,0,5.6
