Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
88,Gabriel Bontempo,br BRA,MF,Santos,20,2005,25,9,997,11.1,2,1,3,2,0,0,1,0,0.18,0.09,0.27,0.18,0.27,Matches,3f384407
89,Thiago Borbas,uy URU,FW,RB Bragantino,22,2002,19,5,580,6.4,1,1,2,1,0,0,4,0,0.16,0.16,0.31,0.16,0.31,Matches,04f9c45f
90,Daniel Borges,br BRA,DF,Mirassol,31,1993,16,9,904,10.0,2,2,4,2,0,0,3,0,0.20,0.20,0.40,0.20,0.40,Matches,71879f82
91,Marllon Borges,br BRA,DF,Ceará,32,1992,25,23,2083,23.1,2,0,2,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,d0b29bbd
92,Pedro Borges,br BRA,MF,Fortaleza,27,1997,1,0,37,0.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,5bb699c4
93,Pedro Borges,br BRA,MF,Sport Recife,27,1997,13,4,508,5.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,5bb699c4
94,Rafael Borré,co COL,FW,Internacional,29,1995,30,20,1809,20.1,5,2,7,4,1,1,3,1,0.25,0.10,0.35,0.20,0.30,Matches,c68da769
95,Lucas Braga,br BRA,MFDF,Vitória,28,1996,21,11,968,10.8,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,8a0a73ad
96,Bilal Brahimi,dz ALG,FWMF,Santos,24,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02bcaf8e
97,Martin Braithwaite,dk DEN,FW,Grêmio,33,1991,18,18,1456,16.2,6,1,7,2,4,4,3,0,0.37,0.06,0.43,0.12,0.19,Matches,fd771f95
98,Gabriel Brazão,br BRA,GK,Santos,24,2000,38,38,3397,37.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,18c697e8
99,Brenno,br BRA,GK,Fortaleza,25,1999,15,15,1350,15.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,f002e8eb
100,Breno,br BRA,MFFW,Fortaleza,29,1996,32,29,2280,25.3,6,3,9,6,0,0,5,0,0.24,0.12,0.36,0.24,0.36,Matches,e0016d00
101,Breno,br BRA,MF,Corinthians,19,2005,33,31,2522,28.0,1,1,2,1,0,0,10,1,0.04,0.04,0.07,0.04,0.07,Matches,4c532308
102,Emanuel Brítez,ar ARG,DF,Fortaleza,32,1992,18,18,1597,17.7,0,1,1,0,0,0,10,0,0.00,0.06,0.06,0.00,0.06,Matches,fb29d05d
103,Bruninho,br BRA,MF,Fortaleza,19,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b37ff7d6
104,Fabrício Bruno,br BRA,DF,Cruzeiro,28,1996,33,33,2950,32.8,3,0,3,3,0,0,9,1,0.09,0.00,0.09,0.09,0.09,Matches,470d197b
105,Kaiki Bruno,br BRA,DF,Cruzeiro,21,2003,34,34,2993,33.3,1,5,6,1,0,0,10,0,0.03,0.15,0.18,0.03,0.18,Matches,1a36e9cb
106,Gustavo Caballero,py PAR,MF,Santos,23,2001,12,1,332,3.7,1,1,2,1,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Matches,90a38ca7
107,Arthur Cabral,br BRA,FW,Botafogo–RJ,26,1998,21,16,1439,16.0,4,2,6,4,0,0,1,0,0.25,0.13,0.38,0.25,0.38,Matches,a820e429
108,Cacá,br BRA,DF,Corinthians,25,1999,18,16,1408,15.6,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,27f4a416
109,Raúl Cáceres,py PAR,DFMF,Vitória,33,1991,20,20,1685,18.7,2,2,4,2,0,0,6,0,0.11,0.11,0.21,0.11,0.21,Matches,6d9dc5be
110,Cadu,br BRA,FW,Atlético Mineiro,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6fefa986
111,Calebe,br BRA,MF,Fortaleza,24,2000,7,2,229,2.5,1,0,1,1,0,0,2,0,0.39,0.00,0.39,0.39,0.39,Matches,c84af55e
112,Jonathan Calleri,ar ARG,FW,São Paulo,31,1993,3,2,121,1.3,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.00,0.00,Matches,6922f806
113,João Camargo,br BRA,FW,Flamengo,17,2007,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9e13ae9
114,Camilo,br BRA,MFDF,Grêmio,25,1999,16,6,735,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dfb81359
115,Camutanga,br BRA,DF,Vitória,31,1993,15,15,1238,13.8,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,c455a045
116,Luan Cândido,br BRA,DF,Sport Recife,23,2001,16,15,1318,14.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,ca151606
117,Germán Cano,ar ARG,FW,Fluminense,36,1988,22,18,1498,16.6,6,0,6,5,1,1,1,0,0.36,0.00,0.36,0.30,0.30,Matches,9ccf4e14
118,Agustín Canobbio,uy URU,MF,Fluminense,26,1998,30,27,2108,23.4,4,2,6,3,1,1,6,0,0.17,0.09,0.26,0.13,0.21,Matches,4f5a2f38
