Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
83,Matheus Bidu,br BRA,DFMF,Corinthians,25,1999,26,23,1965,21.8,0,2,2,0,0,0,7,0,0,22,66,7,73,23,28,,,0
84,Biel,br BRA,MFFW,Atlético Mineiro,23,2001,17,6,595,6.6,1,2,3,1,0,0,1,0,0,5,16,0,10,4,3,,,0
85,Rafael Bilu,br BRA,MFFW,Juventude,25,1999,15,10,688,7.6,1,0,1,1,0,0,1,0,0,20,24,2,17,0,8,,,0
86,Damián Bobadilla,py PAR,MF,São Paulo,23,2001,31,22,2100,23.3,4,2,6,4,0,0,6,0,0,36,12,1,13,20,31,,,0
87,Yannick Bolasie,cd COD,FWMF,Cruzeiro,35,1989,18,0,177,2.0,0,1,1,0,0,0,1,0,0,11,4,2,8,0,2,,,0
88,Gabriel Bontempo,br BRA,MF,Santos,20,2005,25,9,997,11.1,2,1,3,2,0,0,1,0,0,10,19,0,12,17,13,,,0
89,Thiago Borbas,uy URU,FW,RB Bragantino,22,2002,19,5,580,6.4,1,1,2,1,0,0,4,0,0,17,7,0,1,1,4,,,0
90,Daniel Borges,br BRA,DF,Mirassol,31,1993,16,9,904,10.0,2,2,4,2,0,0,3,0,0,17,10,0,44,10,7,,,0
91,Marllon Borges,br BRA,DF,Ceará,32,1992,25,23,2083,23.1,2,0,2,2,0,0,3,0,0,18,13,0,2,15,11,,,0
92,Pedro Borges,br BRA,MF,Fortaleza,27,1997,1,0,37,0.4,0,0,0,0,0,0,2,1,1,3,0,0,0,0,1,,,0
93,Pedro Borges,br BRA,MF,Sport Recife,27,1997,13,4,508,5.6,0,0,0,0,0,0,5,0,0,11,11,0,0,7,9,,,0
