Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
423,Marlon,br BRA,DF,Cruzeiro,27,1997,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,63969d01
424,Marlon,br BRA,FW,Juventude,20,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,026c9d63
425,Marlon,br BRA,DF,Grêmio,27,1997,30.7,8,0,0,38,42,1,156,41,49,,,0,Matches,63969d01
426,Gustavo Marques,br BRA,DF,RB Bragantino,23,2001,10.0,2,0,0,13,9,0,1,15,13,,,0,Matches,b4fce835
427,Igor Marques,br BRA,MFDF,Juventude,26,1999,15.8,1,1,0,25,14,1,64,31,32,,,0,Matches,8b364abd
428,Lucca Marques,br BRA,MF,São Paulo,17,2007,3.5,1,0,0,9,12,1,10,0,4,,,0,Matches,1d6ffbb1
429,Renato Marques,br BRA,FW,Mirassol,21,2003,2.9,1,0,0,2,4,2,2,0,2,,,0,Matches,838d1215
430,Marquinhos,br BRA,MF,Cruzeiro,21,2003,4.3,1,0,0,4,8,0,20,8,6,,,0,Matches,59878425
431,Marquinhos,br BRA,DF,Botafogo–RJ,17,2007,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,5fb8eee5
432,Juan Martín Lucero,ar ARG,FW,Fortaleza,33,1991,15.7,6,0,0,42,17,9,4,2,6,,,0,Matches,18a3f871
433,Martinelli,br BRA,MF,Fluminense,23,2001,30.2,6,0,0,58,38,1,5,20,30,,,0,Matches,2b124c8c
434,Alejandro Martínez,ar ARG,FWMF,Ceará,27,1997,0.5,0,0,0,2,1,0,2,1,1,,,0,Matches,26f76d7b
435,Emiliano Martínez,uy URU,MFDF,Palmeiras,25,1999,16.8,3,0,0,23,12,0,2,16,22,,,0,Matches,52061089
436,Emmanuel Martínez,ar ARG,MF,Fortaleza,30,1994,8.2,6,0,0,18,13,1,17,6,10,,,0,Matches,74758396
437,Adriano Martins,br BRA,DF,Juventude,27,1997,4.0,1,0,0,3,1,1,0,6,3,,,0,Matches,35ba6188
438,Andre Martins,br BRA,FW,Grêmio,23,2001,8.8,3,0,0,13,15,2,1,3,10,,,0,Matches,56224aa6
439,Matheus Martins,br BRA,MF,Botafogo–RJ,21,2003,7.3,3,0,0,11,15,0,15,4,11,,,0,Matches,73fd2787
440,Gustavo Martins Santos,br BRA,DF,Grêmio,22,2002,14.7,4,0,0,22,2,1,2,12,18,,,0,Matches,ae03ce49
441,Gonzalo Mastriani,uy URU,FW,Botafogo–RJ,31,1993,3.2,1,0,0,8,3,3,0,2,1,,,0,Matches,b4339e2b
442,Matheusinho,br BRA,MFFW,Sport Recife,26,1998,18.4,1,1,0,15,35,2,42,21,14,,,0,Matches,74f5a96d
443,Matheusinho,br BRA,MF,Vitória,27,1997,19.6,5,1,0,17,62,2,63,11,17,,,0,Matches,91c2ee76
444,Matheuzinho,br BRA,DFMF,Corinthians,24,2000,29.2,12,0,0,30,27,1,104,35,40,,,0,Matches,2a5bc0cd
445,Ricardo Mathias,br BRA,FW,Internacional,18,2006,9.0,1,0,0,18,9,4,6,0,5,,,1,Matches,cebd5c05
446,Mauricio,py PAR,MFFW,Palmeiras,23,2001,17.8,1,0,0,14,24,8,33,13,10,,,0,Matches,bf4cbc22
447,Maycon,br BRA,MF,Corinthians,27,1997,16.6,4,0,0,14,6,0,24,9,17,,,0,Matches,005ca692
448,Mayke,br BRA,DF,Santos,32,1992,9.1,3,0,0,12,7,0,19,8,12,,,0,Matches,47431289
449,Mayke,br BRA,DFMF,Palmeiras,32,1992,2.3,1,0,0,10,2,1,11,1,4,,,0,Matches,47431289
450,Luca Meirelles,br BRA,DF,Santos,17,2007,1.0,0,0,0,1,1,0,0,0,1,,,0,Matches,a0860c1e
451,Arthur Melo,br BRA,MF,Grêmio,28,1996,12.0,3,1,0,17,41,1,6,6,18,,,0,Matches,48b3dd60
452,Memphis,nl NED,FW,Corinthians,30,1994,17.2,4,0,0,21,31,2,67,2,2,,,0,Matches,8f696594
453,Nathan Mendes,br BRA,DF,RB Bragantino,22,2002,12.9,3,0,0,12,20,3,19,12,11,,,0,Matches,c5aa7b35
454,Thiago Mendes,br BRA,MF,Vasco da Gama,32,1992,3.3,1,0,0,5,4,0,0,4,1,,,0,Matches,c6e5d20f
455,Vinicius Mendonça,br BRA,MF,RB Bragantino,20,2004,11.5,2,0,0,16,39,4,19,6,16,,,0,Matches,47a333ad
456,Jean Meneses,cl CHI,FWMF,Vasco da Gama,31,1993,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches,dc7acc74
457,Ramon Menezes Roma,br BRA,DF,Sport Recife,29,1995,20.8,6,1,1,20,9,1,0,25,14,,,0,Matches,eab48ffb
458,Gabriel Menino,br BRA,MFDF,Atlético Mineiro,24,2000,9.9,1,0,0,14,15,1,23,9,8,,,0,Matches,01819e70
459,Gabriel Mercado,ar ARG,DF,Internacional,37,1987,13.3,4,0,0,16,9,0,0,13,10,,,0,Matches,bf97c188
460,Micael,br BRA,DF,Palmeiras,24,2000,14.4,4,0,0,27,2,0,2,10,16,,,0,Matches,ea95d7a6
461,Michael,br BRA,MF,Flamengo,28,1996,6.9,0,0,0,2,6,1,18,1,4,,,0,Matches,f523d00b
462,Carlos Miguel,br BRA,GK,Palmeiras,26,1998,9.0,1,0,0,0,5,0,0,0,0,,,0,Matches,84454067
463,Fernando Miguel,br BRA,GK,Ceará,39,1985,7.3,0,0,0,0,6,0,0,0,0,,,0,Matches,f1f06658
464,Moises,br BRA,MFFW,Fortaleza,28,1996,4.3,1,0,0,2,2,2,0,1,3,,,0,Matches,ddd07a25
465,Miguel Monsalve,co COL,MFFW,Grêmio,20,2004,3.3,2,0,0,9,8,0,14,0,5,,,0,Matches,a2f7f47c
466,Álvaro Montoro,ar ARG,MF,Botafogo–RJ,17,2007,10.4,3,0,0,10,12,0,13,13,16,,,0,Matches,4c55ed86
467,Kauã Moraes,br BRA,DF,Cruzeiro,18,2006,2.2,0,0,0,5,6,0,15,4,3,,,0,Matches,936f721d
468,Aníbal Moreno,ar ARG,MF,Palmeiras,25,1999,20.1,9,0,0,22,10,0,13,28,31,,,0,Matches,0c0f1cd3
469,Santiago Moreno,co COL,MF,Fluminense,24,2000,1.7,2,0,0,6,2,0,8,2,0,,,0,Matches,3261d0e4
470,Henry Mosquera,co COL,MF,RB Bragantino,23,2001,8.6,0,0,0,13,8,3,25,4,7,,,0,Matches,be206004
471,Hugo Moura,br BRA,MFDF,Vasco da Gama,27,1998,26.8,6,2,0,46,14,0,8,28,31,,,1,Matches,14100165
472,Lucas Moura,br BRA,FWMF,São Paulo,32,1992,5.0,0,0,0,6,14,1,2,3,2,,,0,Matches,2b622f01
473,Neto Moura,br BRA,MF,Mirassol,28,1996,27.0,10,0,0,38,24,0,5,38,50,,,0,Matches,28fd3b9e
474,Lucas Mugni,ar ARG,MF,Ceará,33,1992,19.0,5,0,0,30,18,3,137,8,40,,,0,Matches,f87818d3
475,Alex Muralha,br BRA,GK,Mirassol,35,1989,7.0,2,0,0,0,1,0,0,0,0,,,0,Matches,38082f12
476,Bruno Nascimento,br BRA,FW,Palmeiras,27,1997,3.8,0,0,0,4,9,3,1,0,0,,,0,Matches,46411d56
477,Nata,br BRA,DF,Juventude,23,2001,1.0,0,0,0,1,0,0,0,3,1,,,0,Matches,b9ae93ab
478,Natanael,br BRA,DFMF,Atlético Mineiro,23,2002,23.8,2,0,0,23,23,7,50,23,36,,,0,Matches,0b618504
479,Nathan,br BRA,DF,Internacional,23,2001,1.0,0,0,0,3,0,0,0,0,0,,,0,Matches,9fb6420e
480,Nathan,br BRA,MF,Grêmio,28,1996,1.0,0,0,0,2,1,0,2,0,0,,,0,Matches,fa00f0c9
481,Kaiky Naves,br BRA,DF,Palmeiras,22,2002,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,621576f9
482,Gui Negão,br BRA,FWMF,Corinthians,17,2007,10.5,3,0,0,27,23,2,6,5,4,,,0,Matches,8d835047
483,Felipe Negrucci,br BRA,DF,São Paulo,20,2004,2.5,0,0,0,3,2,0,0,1,2,,,0,Matches,784f2ef7
484,Negueba,br BRA,FWMF,Mirassol,25,1999,24.0,3,0,0,17,54,5,87,12,18,,,0,Matches,47c2829f
485,Edison Negueba,br BRA,FW,Juventude,24,2000,1.2,0,0,0,0,1,0,4,1,2,,,0,Matches,ab23371b
486,Nenê,br BRA,FWMF,Juventude,43,1981,11.2,3,0,0,10,35,1,88,2,5,,,0,Matches,265ebd37
